category,sub_category,item_type,item_name,brand,sale_price_editable,sale_price,shortage_alert,expire_alert,barcode,description,direct_of_use,base_unit,packet_name,packet_price,packet_barcode,base_unit_qty,default_unit
category,sub_category,item_type,item_name,Brand,sale price editable,sale_price,Quantity alert,Expiration alert,barcode,description,direct_of_use,UoM,Alt_UoM,Alt_UoM price,packet_barcode,base_unit_qty,default_unit
Cosmetic,Candles,Candle,Brightest Bloom Scented Candle 411g,Bath And Body Works,0,27500,0,0,667559276180,"Bath & Body Works Brightest Bloom Scented Candle 411 g – a 3-wick candle with notes of fresh spring blossoms, soft petals, and a hint of warm musk. Made with premium fragrance oils and a clean-burning wax blend to create a cozy floral atmosphere.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Winter Candy Apple 411g,Bath And Body Works,0,26000,0,0,667559077091,"Bath & Body Works Winter Candy Apple Scented Candle 411 g – a festive 3-wick candle with notes of red apple, crisp pear, and winter rose petals, blended with premium fragrance oils for a sweet, holiday-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Sundrenched Linen Candle 411g,Bath And Body Works,0,26000,0,0,667559260585,"Bath & Body Works Sundrenched Linen Scented Candle 411 g – a fresh 3-wick candle with notes of clean cool cotton, crisp apple, and soft musk, crafted with premium fragrance oils for a breezy, sun-washed aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Pumpkin Spice Latte 411g,Bath And Body Works,0,26000,0,0,667559292760,"Bath & Body Works Pumpkin Spice Latte Scented Candle 411 g – a cozy 3-wick candle with notes of pumpkin purée, spiced espresso, and sweet whipped cream, blended with premium fragrance oils for a warm autumn aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Snowy Coconut Frost,Bath And Body Works,0,26000,0,0,667558803271,"Bath & Body Works Snowy Coconut Frost Scented Candle 411 g – a festive 3-wick candle with notes of frosted coconut, winter vanilla, and sugared musk, crafted with premium fragrance oils for a sweet, wintry aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Rose Water & Ivy 411g,Bath And Body Works,0,26000,0,0,667559143239,"Bath & Body Works Rose Water & Ivy Scented Candle 411 g – a refreshing 3-wick candle with notes of soft rose petals, rain-kissed ivy, and creamy sandalwood, crafted with premium fragrance oils for a delicate floral aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Limoncello Scented Candle 411g,Bath And Body Works,0,27500,0,0,667554293472,"Bath & Body Works Limoncello Scented Candle 411 g – a bright and uplifting 3-wick candle with notes of sparkling lemon zest, sugared mint, and fresh verbena, filling your space with a zesty, refreshing citrus aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Bubbly Rose Scented Candle 411g,Bath And Body Works,0,27500,0,0,667558155196,"Bath & Body Works Bubbly Rosé Scented Candle 411 g – a sparkling and cheerful 3-wick candle with notes of pink sparkling rosé, sweet blood orange, and cranberry, creating a fruity, effervescent, and celebratory aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Gingham Unstoppable Scented Candle 411g,Bath And Body Works,0,27500,0,0,667559268604,"Bath & Body Works Gingham Unstoppable Scented Candle 411 g – a fresh and uplifting 3-wick candle with notes of blue freesia, sparkling mandarin, and sweet clementine, crafted with premium fragrance oils for a bright, floral-citrus aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,White Barn Flannel 411g,Bath And Body Works,0,26000,0,0,667558803714,"Bath & Body Works White Barn Flannel Scented Candle 411 g – a warm and cozy 3-wick candle with notes of fresh bergamot, soft sage, and cozy woods, crafted with premium fragrance oils for a comforting, autumn-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Pumpkin Cinnamon Bun 411g,Bath And Body Works,0,26000,0,0,667559303794,"Bath & Body Works Pumpkin Cinnamon Bun Scented Candle 411 g – a warm and sweet 3-wick candle with notes of spiced pumpkin, buttery cinnamon, and creamy icing, crafted with premium fragrance oils for a cozy, autumn-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Hello Beautiful Scented Candle 411g,Bath And Body Works,0,27500,0,0,667554949225,"Bath & Body Works Hello Beautiful Scented Candle 411 g – a bright and uplifting 3-wick candle with notes of fresh peony, white freesia, and soft citrus, crafted with premium fragrance oils for a cheerful, floral aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,White Barn Midnight Cocktails 411g,Bath And Body Works,0,26000,0,0,667559307266,"Bath & Body Works White Barn Midnight Cocktails Scented Candle 411 g – a rich and festive 3-wick candle with notes of blackberry liqueur, sparkling citrus, and sugared berries, crafted with premium fragrance oils for a bold, celebratory aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Tis The Season Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559086123,"Bath & Body Works Tis The Season Scented Candle 411 g – a festive 3-wick candle with notes of juicy red apple, fresh pine, and warm spices, crafted with premium fragrance oils for a cozy holiday-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,cranberry & Gala Apple Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559294962,"Bath & Body Works Cranberry & Gala Apple Scented Candle 411 g – a bright and fruity 3-wick candle with notes of tart cranberry, sweet Gala apple, and juicy red berries, crafted with premium fragrance oils for a fresh, uplifting aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Santorini Coast Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559276807,"Bath & Body Works Santorini Coast Scented Candle 411 g – a fresh and serene 3-wick candle with notes of Mediterranean citrus, sea breeze, and soft jasmine, crafted with premium fragrance oils for a coastal, relaxing aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Paris Cafe Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559264316,"Bath & Body Works Paris Café Scented Candle 411 g – a warm and inviting 3-wick candle with notes of freshly brewed coffee, sweet pastries, and creamy vanilla, crafted with premium fragrance oils for a cozy café-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,White Gardenia Scented Candle 411g,Bath And Body Works,0,26250,0,0,667559143222,"Bath & Body Works White Gardenia Scented Candle 411 g – a delicate 3-wick candle with notes of fresh gardenia petals, soft jasmine, and creamy musk, crafted with premium fragrance oils for a romantic, floral aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Vanilla Bean Noel Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559081913,"Bath & Body Works Vanilla Bean Noel Scented Candle 411 g – a warm and festive 3-wick candle with notes of creamy vanilla, sugared berries, and soft caramel, crafted with premium fragrance oils for a cozy holiday-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Freshly Brewed Coffee Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559295174,"Bath & Body Works Freshly Brewed Coffee Scented Candle 411 g – a rich and cozy 3-wick candle with notes of hot roasted coffee beans, creamy caramel, and warm vanilla, crafted with premium fragrance oils for a café-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Starfruit Sangria Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559278771,"Bath & Body Works Starfruit Sangria Scented Candle 411 g – a tropical and fruity 3-wick candle with notes of starfruit, juicy citrus, and sweet berries, crafted with premium fragrance oils for a vibrant, summery aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Coco Paradise Scented Candle 411g,Bath And Body Works,0,27500,0,0,667558125069,"Bath & Body Works Coco Paradise Scented Candle 411 g – a tropical 3-wick candle with notes of coconut, creamy vanilla, and exotic floral accents, crafted with premium fragrance oils for a relaxing, island-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Book Loft Scented Candle 411g,Bath And Body Works,0,26000,0,0,667559307259,"Bath & Body Works Book Loft Scented Candle 411 g – a warm and cozy 3-wick candle with notes of aged paper, soft vanilla, and subtle spices, crafted with premium fragrance oils for a comforting, library-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Jasmine Oud Scented Candle 411g,Bath And Body Works,0,26000,0,0,667558871485,"Bath & Body Works Jasmine Oud Scented Candle 411 g – a luxurious 3-wick candle with notes of jasmine petals, rich oud wood, and soft amber, crafted with premium fragrance oils for an exotic, elegant aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Twisted Peppermint Scented Candle 411g,Bath And Body Works,0,27500,0,0,667557422350,"Bath & Body Works Twisted Peppermint Scented Candle 411 g – a festive 3-wick candle with notes of peppermint, dark chocolate, and sweet vanilla, crafted with premium fragrance oils for a refreshing, holiday-inspired aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet
Cosmetic,Candles,Candle,Georgi Peach Scented Candle 411g,Bath And Body Works,0,27500,0,0,667550585052,"Bath & Body Works Georgia Peach Scented Candle 411 g – a sweet and fruity 3-wick candle with notes of ripe peach, juicy nectar, and soft vanilla, crafted with premium fragrance oils for a bright, summery aroma.","	1.	Trim wick to 1/4 inch before lighting.
	2.	Place candle on a heat-resistant surface, away from drafts and flammable objects.
	3.	Burn until the wax melts evenly across the surface, up to 3–4 hours at a time.
	4.	Extinguish with care and allow wax to cool before relighting.",Packet,,,,1,Packet